,chain,aura_bribes,bal_bribes,pool_total,fees_taken
wstETH/rETH/cbETH,arbitrum,393.8127130999731453917867221,596.4622869000268546082132779,1980.55,990.275
4POOL-BPT,arbitrum,93.67952514341488373857387007,141.8854748565851162614261299,471.13,235.565
RDNT-WETH,arbitrum,2257.320035699507275590889023,3418.899964300492724409110977,11352.44,5676.220
wstETH/rETH/sfrxETH,arbitrum,0.003976801525838510973131571756,0.006023198474161489026868428244,0.02,0.010
rETH-WETH-BPT,base,0E-31,0E-31,0.00,0.000
cbETH/WETH,base,367.3789133577245629533811646,556.4260866422754370466188354,1847.61,923.805
bb-WETH-wstETH,gnosis,614.6445018297856597297829017,930.9304981702143402702170983,3091.15,1545.575
B-rETH-STABLE,mainnet,3141.194000828560128201679333,4757.600999171439871798320667,15797.59,7898.795
swETH-WETH-BPT,mainnet,1095.748008421914120981807624,1659.601991578085879018192376,5510.70,2755.350
ECLP-wstETH-cbETH,mainnet,0E-31,0E-31,0.00,0.000
20WETH-80ALCX,mainnet,411.5830507181825316752251505,623.3769492818174683247748495,2069.92,1034.960
B-staFiETH-WETH-Stable,mainnet,241.0677432940417774247761825,365.1172567059582225752238175,1212.37,606.185
GHO/USDT/USDC,mainnet,0E-31,0E-31,0.00,0.000
ankrETH/wstETH,mainnet,753.4825966998597548237523348,1141.212403300140245176247665,3789.39,1894.695
50wstETH-50LDO,mainnet,121.9764564005188085678915689,184.7435435994811914321084311,613.44,306.720
50rETH-50BADGER,mainnet,1954.069035346691621334741019,2959.600964653308378665258981,9827.34,4913.670
50rETH-50RPL,mainnet,250.7134753949630857901068098,379.7265246050369142098931902,1260.88,630.440
STG/USDC,mainnet,246.4861353729967486256679490,373.3238646270032513743320510,1239.62,619.810
ECLP-wstETH-wETH,mainnet,0E-31,0E-31,0.00,0.000
50wstETH-50ACX,mainnet,75.85152390308083904602503389,114.8834760969191609539749661,381.47,190.735
wstETH-WETH-BPT,polygon,0E-31,0E-31,0.00,0.000
ECLP-WMATIC-stMATIC,polygon,293.3030313359306190568593775,444.2319686640693809431406225,1475.07,737.535
ECLP-WMATIC-MATICX,polygon,80.76685058901723860881565658,122.3281494109827613911843434,406.19,203.095
stMATIC-WMATIC-BPT,polygon,0.4911349884410561051817491119,0.7438650115589438948182508881,2.47,1.235
maticX-WMATIC-BPT,polygon,290.1772653366215494319779621,439.4977346633784505680220379,1459.35,729.675
